Entry,Name,Day,Country,Region,MG,Diversity,Stem Termination,Seed Weight,Shoot_weight,Root_weight,TRL,PRL,SRL,MSL,SRL/LRB,SL/PL,MED,MAX,LED,PER,DIA,VOL,PRA,TRLUpper,TRLLower,CVA,DEP,WID,WDR,NWA,RHZO,LRB,NLR,IRB,TRArea,TRAUpper,TRALower,SOL,SOL2,BSH,CM,CMT,CMM,CMB,CP,CPT,CPM,CPB,LRA,LRAMeangle,RootWeight.NetworkArea,LRA.CVA,LRA.WID,LRB.SRL,TRLUpper.RootWeight,Shoot.Root.Weight,TRL_GR
132,PI430596,6,China,Fujian,2,Landrace,S,,,,65.75139902,20.70975406,45.05622577,0.992978513,1.720102423,2.003793597,1.048338221,6.034081444,1.536333613,109.6930675,0.143612459,69.57366222,10.35088927,37.97961019,24.91822271,52.74409898,19.02290066,5.058361932,0.269375218,0.625762045,1079.17137,39.88319145,51.03522931,51.376386,5.166376744,3.020339751,2.02919535,0.012958216,84.28778863,5.329786009,0.25204103,0.207705712,0.379513232,0.929424279,0.37468292,0.20851688,0.4106445,0.951959081,84.98436526,69.06502816,0.127621607,4482.423773,429.881678,475.5728739,2.158176272,1.833899624,1
159,PI438139,6,China,Northeast China,2,Landrace,N,,,,76.65721388,22.10886033,54.42753257,1.531400752,2.044819661,1.55731982,1.026450997,7.050942289,2.620285674,123.9585532,0.171354784,99.24763575,12.47898452,54.24302608,20.5215783,92.9532944,20.09307011,8.67437123,0.41986166,0.724560257,1298.29151,37.05148793,43.78280572,43.60600058,7.244948078,4.966169498,2.123010155,0.010105453,128.2892534,7.027173988,0.230567717,0.195973471,0.361750455,0.938523204,0.366970413,0.205028861,0.385735493,0.95620978,84.79247816,55.25967713,0.155594553,7881.740185,735.5214331,481.1439318,2.447642348,2.453451932,1
172,PI458506,6,China,Liaoning,2,Landrace,D,,,,72.09442124,21.06850882,50.9913914,1.395015769,1.971482255,1.630298275,1.103066958,6.98258744,2.013786625,112.7124653,0.159157963,88.8944022,11.78815899,45.0089942,24.66148084,69.35296172,19.2650964,6.619947909,0.352693043,0.692363813,1184.7225,36.82437718,46.76913733,46.60210278,6.64741953,4.085916153,2.38592016,0.011057377,100.1683803,6.065453407,0.247768229,0.197627633,0.382031628,0.933038989,0.373407273,0.203797695,0.407060284,0.953410988,85.2225496,53.82600611,0.147957073,5910.43622,564.168839,439.3688028,2.554913518,2.136316081,1
198,PI479713,6,China,Jilin,2,Landrace,N,,,,89.2903464,21.26158612,67.80286529,1.751587211,2.006093236,1.691221218,1.09277471,9.129133523,1.744750685,134.669251,0.179096752,117.5877274,12.79480109,54.35332294,30.84512276,82.2224847,19.17493334,7.994687183,0.411019755,0.848925324,1476.494494,42.42705573,52.52410166,51.62922534,8.207267735,5.162430963,2.754364024,0.011249329,96.85479085,7.441765714,0.248354001,0.204845594,0.373607246,0.928770401,0.378196995,0.200322371,0.409282764,0.949364411,85.33770752,65.6053253,0.164152468,7016.678351,682.2482765,390.0400422,2.119525462,2.556409603,1
211,PI507487,6,Japan,Tohoku,3,Landrace,D,,,,83.0519157,21.9076683,61.02257454,1.436972477,1.894566213,1.925893956,1.03638636,8.134877399,2.472884647,119.7118579,0.204843602,154.4065222,14.9514603,56.11722042,24.19231969,72.14338328,19.67469454,6.695294939,0.339848231,0.802392978,1279.102413,41.34611507,56.43187328,56.7480198,8.310624884,5.649709497,2.443959581,0.011728264,89.91028743,7.708239985,0.237160015,0.196857899,0.38479283,0.932121435,0.376502996,0.203934425,0.414055502,0.950920698,85.14922162,69.95944547,0.196398404,6142.952931,570.0991526,356.0992661,3.053196784,2.561533234,1
132,PI430596,9,China,Fujian,2,Landrace,S,,,,209.6721631,33.38247599,176.7674454,2.817451106,2.737228391,1.835704689,2.124358482,14.35769584,2.150302785,318.8700369,0.176182217,119.4009872,17.07621446,128.6088446,74.7402023,193.5888855,30.59484939,11.95126741,0.411563877,2.206639842,3495.289561,76.35861261,96.92774291,92.12440421,16.28259057,10.03526953,5.849539456,0.008870787,87.73016866,9.499017596,0.266334215,0.193828703,0.413480081,0.899465707,0.390983931,0.203250834,0.455219967,0.919725973,85.04316396,105.7707765,0.036191116,16435.27829,1014.636793,1610.413522,2.158176272,3.852585549,143.9458756
159,PI438139,9,China,Northeast China,2,Landrace,N,,,,251.5350302,38.36928809,212.8655823,3.341160464,3.447558722,1.687388506,1.764511636,17.01508782,3.466030702,385.6930084,0.194202527,178.351743,21.93223188,184.1972829,64.98152545,417.2794673,34.99287076,21.06280658,0.594089519,2.651292671,4466.138062,74.000691,95.72027129,92.07589975,23.34070568,17.46599711,5.662604474,0.008251473,157.3871764,13.90511414,0.25207368,0.188557082,0.408685444,0.913440781,0.378368707,0.204084375,0.446840379,0.93335872,88.48409468,112.0750868,0.042521759,36979.69839,1866.605706,1633.858052,2.447642348,4.800643746,174.4253538
172,PI458506,9,China,Liaoning,2,Landrace,D,,,,251.5445657,37.23412834,214.1032174,3.833315597,3.303005161,1.553525217,1.750049514,17.41711655,3.285511549,363.4599552,0.18810662,144.9980686,20.37953108,179.7061614,68.41280528,319.9435987,34.31080971,16.55197845,0.48713277,2.666305152,4311.887608,76.52707792,98.71086816,93.32001148,21.75555696,15.68525831,5.755141125,0.008434138,119.995117,13.17299914,0.25339965,0.18634055,0.416247862,0.908566738,0.389697529,0.204093446,0.452537397,0.932729373,82.41052299,98.91391088,0.038420255,26242.54431,1357.633125,1754.255619,2.554913518,4.826382929,179.3111047
198,PI479713,9,China,Jilin,2,Landrace,N,,,,312.0295314,37.82043491,273.7767595,4.267913091,3.783307304,1.660507942,1.760580333,21.5822219,3.166685103,438.9497927,0.199071134,186.1681579,21.92782232,227.4484502,76.51797876,434.1215851,34.64076791,21.69062212,0.601473214,3.286291018,5334.949974,78.63031203,103.4244521,97.72969112,26.7574213,19.6049484,6.365841892,0.00837582,132.1007734,15.55776273,0.263428826,0.19333073,0.405992895,0.919545233,0.385338134,0.204069133,0.442250386,0.935381673,87.34519127,111.488581,0.042404396,37940.90455,1895.694321,1632.172576,2.119525462,6.013903614,215.9295563
211,PI507487,9,Japan,Tohoku,3,Landrace,D,,,,286.3183186,38.86302484,246.7288291,3.599374038,3.197566467,1.741381299,1.654008452,19.34151739,3.716398243,392.3690888,0.216015939,228.1964235,24.18872598,211.3257111,70.08452554,372.5501107,35.28727199,19.34259195,0.542880908,3.026377607,4644.426579,88.73047153,113.6451109,109.1527641,26.1563749,19.79277667,5.929510007,0.008413332,123.1010003,15.67431617,0.249429942,0.192906289,0.408861454,0.917422086,0.383835274,0.203536421,0.447671836,0.933961892,88.13724844,122.3501679,0.052071724,32877.90911,1707.002526,1340.995332,3.053196784,5.437706199,201.5920574
132,PI430596,12,China,Fujian,2,Landrace,S,10.1,0.172353593,0.079860758,306.0997374,44.39096817,262.5029213,3.285667776,3.147384221,2.023370118,2.73323208,17.93380473,2.997818018,393.1612254,0.175887308,178.1122194,23.07094838,182.9860422,119.7750598,325.1157339,39.50081627,15.37344212,0.427661228,3.375185358,4848.581873,100.3697745,136.8592588,128.0067526,24.26399802,14.78726808,8.98217489,0.009198114,96.32529755,11.04004884,0.261138336,0.188468033,0.42373829,0.82031488,0.443871778,0.202671069,0.475331398,0.849975779,88.9200728,164.9584957,0.023661147,28909.31473,1367.007592,2291.313616,2.158176272,4.122145782,100.0744128
159,PI438139,12,China,Northeast China,2,Landrace,N,18.8,0.275941395,0.112737629,388.8830094,49.02526894,338.4494457,4.107807138,4.131564106,2.060662301,2.92036416,20.18812283,3.034883551,546.3080539,0.192078757,210.1753336,27.47936225,261.6402482,117.472978,725.1888152,43.37507145,27.72544509,0.621182761,4.274389251,6849.097876,100.812242,149.7227433,140.6181649,34.75885815,23.43981861,10.19938575,0.007021252,169.659049,10.31432195,0.272826446,0.188438248,0.428582459,0.827441772,0.433988093,0.205578338,0.462333017,0.856427755,89.1252119,184.9954395,0.026375143,64632.60682,2471.036169,2320.788991,2.447642348,5.33684473,138.5779171
172,PI458506,12,China,Liaoning,2,Landrace,D,19.7,0.261725655,0.102440123,381.632745,48.06981032,333.5869539,4.053405287,3.725292373,1.914816463,2.696954879,21.02698475,2.697786999,531.7202403,0.196894799,219.1234298,27.5992414,233.7871542,134.9700342,520.0004904,42.46257498,21.01504017,0.500496285,4.163450821,6589.555061,105.1719032,140.5533702,131.2737697,32.4803836,19.99557823,11.2031147,0.00788625,124.8965132,12.0491637,0.289964599,0.188469815,0.427941944,0.820689357,0.442310499,0.203839615,0.470593937,0.852278715,88.5672406,159.3939121,0.024604619,46055.00855,1861.244119,2282.183459,2.554913518,4.863492338,128.5071566
198,PI479713,12,China,Jilin,2,Landrace,N,19.2,0.295362628,0.139353187,517.7731164,49.79263119,467.6312162,4.600651923,4.250571553,2.123406392,2.879409606,27.57269175,2.982830411,580.8207105,0.207606136,265.9613465,29.82402011,339.01848,149.1348802,688.3559601,43.56337761,26.22782984,0.576709984,5.71229705,8252.73661,117.7134507,164.5693207,153.2033282,41.32776405,27.24852568,11.76761962,0.007941925,120.5042304,12.2768835,0.276476227,0.188486708,0.423521073,0.818535789,0.457194467,0.205315727,0.471511413,0.844872984,89.02866779,193.941576,0.024395298,61283.41409,2335.02875,2432.800335,2.119525462,6.808607457,211.5928074
211,PI507487,12,Japan,Tohoku,3,Landrace,D,34.5,0.481149312,0.1575887,492.2027089,51.68465402,440.0109304,3.924700878,3.335271931,2.121407609,3.521444542,24.89719238,2.916948505,594.2423002,0.226140083,311.8960209,33.58897241,325.1943232,145.9747663,615.2933589,44.283886,24.30749478,0.539457948,5.369834533,7585.07999,144.3897948,172.0862449,164.5274918,45.24521126,31.75246749,11.78799443,0.008219827,114.5832996,9.534353396,0.270726306,0.18844276,0.43155207,0.810443394,0.463960887,0.204075672,0.479559376,0.843951339,89.19703566,200.6699906,0.029347031,54882.34368,2168.156479,2063.563715,3.053196784,6.291893201,202.524001
