Fileme,X,Rep,SB,GC,Day,Entry,Plant,Rep_SB_Day_Entry_Plant,Name,Country,Region,MG,Diversity,Stem,Cluster,Seed_weight,Shoot_weight,Root_weight,TRL,PRL,SRL,MSL,SRL_LRB,SL_PL,MED,MAX,LED,PER,DIA,VOL,PRA,TRLUpper,TRLLower,CVA,DEP,WID,WDR,NWA,RHZO,LRB,NLR,IRB,Area,TRAUpper,TRALower,SOL,BSH,CM,CMT,CMM,CMB,CP,CPT,CPM,CPB,Median_angle,Mean_angle
KGF_Rep1_SB1_Day6_132_2,Rep1_SB1_132_2,1,1,1,6,132,2,1_1_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,50.11968637,18.05546619,32.06422018,1.068807339,1.789988799,1.661546685,1,6,0.865263935,77.28689908,0.104931193,75.05546723,9.339105373,21.50458716,24.85321101,33.20208737,16.62385321,3.706422018,0.222958057,0.447521252,784.9357798,28,42,42,4.468489605,2.141907247,2.043262352,0.0135,6,0.274898702,0.243354341,0.386262674,0.999520843,0.378693499,0.201463606,0.420333155,0.999520843,,
KGF_Rep2_SB3_Day6_132_1,Rep2_SB3_132_1,2,3,1,6,132,1,2_3_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,43.68167317,19.56516832,24.11650485,0.33036308,1.149517715,3.731120469,1,4,0.547488082,76.03974757,0.138324492,33.55750426,7.775656508,14.49514563,26.47572816,20.89810538,17.86407767,2.368932039,0.132608696,0.407672731,697.2584951,38,74,74,2.955391649,1.119144123,1.72108587,0.0195,4,0.383403629,0.264186453,0.478205197,0.881308853,0.431922173,0.23184605,0.493264076,0.93657319,90,119.1666667
KGF_Rep2_SB3_Day6_132_2,Rep2_SB3_132_2,2,3,1,6,132,2,2_3_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,103.9062273,18.78972245,85.11650485,1.493272015,2.078124546,3.033573282,,14,1.010224145,172.1983301,0.154223011,50.38171161,8.669362478,49.88349515,49.37864078,89.21957772,15.2038835,10.2038835,0.671136654,0.977189179,1795.385922,50,68,67,7.213344802,3.595060797,3.343858988,0.011,7,0.346865123,0.23746403,0.434594633,0.722747802,0.480462754,0.216793893,0.500615612,0.783216783,90,88.625
KGF_Rep3_SB6_Day6_132_1,Rep3_SB6_132_1,3,6,2,6,132,1,3_6_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,48.73075252,19.95075252,28.78,0.822285714,1.433257427,1.754319792,1,4,1.193285372,83.80762,0.104460405,46.40532902,8.909870925,24.88,20.85,52.5698,18.55,5.54,0.298652291,0.4732,840.25875,34,38,40,3.8707375,2.0745,1.6156,0.009,4,0.299304523,0.258056472,0.415470735,0.999835228,0.387924582,0.220535273,0.446861097,0.999752842,86,59.79166667
KGF_Rep3_SB6_Day6_132_2,Rep3_SB6_132_2,3,6,2,6,132,2,3_6_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,43.43631601,18.81631601,24.62,0.647894737,1.277538706,2.019523906,1,4,1.447904192,79.50394,0.097163904,47.63282781,8.28752142,24.18,16.7,39.04185,17.36,4.25,0.244815668,0.4198,739.95875,34,37,40,3.4461375,2.0101,1.3056,0.0108,4,0.25448982,0.223320869,0.396578463,0.999190939,0.340614887,0.21906303,0.422941388,0.999460626,88,57.75
KGF_Rep4_SB7_Day6_132_1,Rep4_SB7_132_1,4,7,1,6,132,1,4_7_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,68.94918137,24.21841214,44.73076923,0.813286713,1.436441278,2.270999423,1,5,2.252670692,119.4252115,0.11628884,77.45096228,12.14026887,46.63461538,20.70192308,64.0402182,22.70192308,5.586538462,0.246082169,0.648206361,1129.763221,48,59,61,5.385008321,3.55362426,1.785133136,0.0101,5,0.226944677,0.200981354,0.409708752,1,0.340343774,0.231288515,0.425228352,1,90,88.625
KGF_Rep4_SB7_Day6_132_2,Rep4_SB7_132_2,4,7,1,6,132,2,4_7_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,58.54743381,22.18204919,36.36538462,1.010149573,1.721983347,1.622933918,1,4,2.275729224,107.06275,0.109416733,79.10003702,11.42283786,39.75961538,17.47115385,52.01691938,20.91346154,4.826923077,0.230804598,0.550295858,987.9711538,34,39,38,4.862379808,3.238720414,1.582932692,0.0106,4,0.223665139,0.201638859,0.385110638,0.999084249,0.320245726,0.217112598,0.412462537,0.999084249,90,53.54166667
KGF_Rep5_SB9_Day6_132_1,Rep5_SB9_132_1,5,9,1,6,132,1,5_9_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,40.54156676,19.17618215,21.36538462,0.928929766,1.559291029,1.199404544,1,3,1.447139303,71.32834615,0.19412751,82.94141537,11.03042924,22.375,15.46153846,31.08829512,18.05769231,3.365384615,0.186368477,0.379345414,658.0997596,26,27,26,4.514469305,2.573502219,1.733820266,0.0122,3,0.261464984,0.251572195,0.362301504,1,0.354698867,0.246632745,0.368981031,1,68,31.75
KGF_Rep5_SB9_Day6_132_2,Rep5_SB9_132_2,5,9,1,6,132,2,5_9_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,32.61525904,19.17295135,13.44230769,0.517011834,2.03845369,1.356077086,1,1,1.430340557,58.15275962,0.186050891,66.60635349,10.32984478,17.76923077,12.42307692,24.1788554,17.64423077,3.730769231,0.211444142,0.299186391,541.3834135,16,25,26,3.755246857,2.137019231,1.504622781,0.0124,1,0.228337083,0.220611054,0.355317014,0.83699508,0.333082469,0.239907312,0.357191898,0.930140748,90,37.125
KGF_Rep6_SB12_Day6_132_1,Rep6_SB12_132_1,6,12,2,6,132,1,6_12_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,115.4962359,,84.32,1.171111111,1.649946227,2.309451346,1,8,1.997840173,187.9361,0.239303797,,,74,37.04,133.2152,28.4,8.88,0.312676056,1.1276,1831.25625,70,92,90,10.8901125,6.8785,3.7892,0.0085,8,0.240726783,0.187444801,0.422039593,0.919480181,0.419529972,0.224190094,0.466320567,0.913710397,90,117.2083333
