Entry,Name,Day,Country,OldCountry,Region,MG,Diversity,Stem Termination,seed coat color,hilum color,Flower Color,Pubescence Color,Pod Color,Seed Coat Luster,PBC,GBC,SBC,Top10,Top10.,BestGenotype,Scavenger,DT,Beard,Umbrella,Size,Yield
132,PI430596,6,China,China,Fujian,2,Landrace,S,Y,Bf,W,G,Tn,D,5,4,4,zNull,zNull,238,240,91,60,265,3,1166.830459
159,PI438139,6,China,China,Northeast China,2,Landrace,N,Y,Lbf,W,G,Dbr,S,3,3,3,Umbrella,Umbrella,38,32,83,148,23,6,2492.368905
172,PI458506,6,China,China,Liaoning,2,Landrace,D,Y,Y,W,G,Br,S,4,2,6,DT,DT,111,91,114,213,106,6,2757.971446
198,PI479713,6,China,China,Jilin,2,Landrace,N,Y,Y,W,G,Br,D,2,2,1,"xBest, Scavenger",Scavenger,10,9,41,50,78,6,2361.081074
211,PI507487,6,Japan,Japan,Tohoku,3,Landrace,D,Y,Y,W,G,Br,I,3,5,5,"xBest, Scavenger, Umbrella",Best,28,37,5,226,50,6,2158.936074
132,PI430596,9,China,China,Fujian,2,Landrace,S,Y,Bf,W,G,Tn,D,5,4,7,zNull,zNull,247,232,73,1,283,3,1166.830459
159,PI438139,9,China,China,Northeast China,2,Landrace,N,Y,Lbf,W,G,Dbr,S,3,3,1,Umbrella,Umbrella,22,17,192,284,1,6,2492.368905
172,PI458506,9,China,China,Liaoning,2,Landrace,D,Y,Y,W,G,Br,S,3,2,3,SDC,DT,93,63,1,45,133,6,2757.971446
198,PI479713,9,China,China,Jilin,2,Landrace,N,Y,Y,W,G,Br,D,1,2,8,"xBest, Scavenger",Scavenger,3,1,31,170,16,6,2361.081074
211,PI507487,9,Japan,Japan,Tohoku,3,Landrace,D,Y,Y,W,G,Br,I,2,5,3,"xBest, Scavenger, Umbrella",Best,1,7,25,164,3,6,2158.936074
132,PI430596,12,China,China,Fujian,2,Landrace,S,Y,Bf,W,G,Tn,D,6,4,6,zNull,zNull,261,260.5,121,213,269,3,1166.830459
159,PI438139,12,China,China,Northeast China,2,Landrace,N,Y,Lbf,W,G,Dbr,S,3,3,4,Umbrella,Umbrella,55,28.5,180,202,22,6,2492.368905
172,PI458506,12,China,China,Liaoning,2,Landrace,D,Y,Y,W,G,Br,S,4,2,8,SDC,DT,131,155.5,29,41,224,6,2757.971446
198,PI479713,12,China,China,Jilin,2,Landrace,N,Y,Y,W,G,Br,D,1,2,5,"xBest, Scavenger",Scavenger,5,1,4,155,34,6,2361.081074
211,PI507487,12,Japan,Japan,Tohoku,3,Landrace,D,Y,Y,W,G,Br,I,2,5,1,"xBest, Scavenger, Umbrella",Best,2,9,17,216,9,6,2158.936074
